customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15629002,747,Germany,Male,36,8,102603.3,2,1,1,180693.61,0
15798053,707,Spain,Male,32,9,0.0,2,1,0,126475.79,0
15753895,590,Spain,Male,37,1,0.0,2,0,0,133535.99,0
15595426,603,Spain,Male,57,6,105000.85,2,1,1,87412.24,1
15645815,615,France,Male,45,5,0.0,2,1,1,164886.64,0
15632848,634,France,Female,36,1,69518.95,1,1,0,116238.39,0
15703068,716,Germany,Male,41,8,126145.54,2,1,1,138051.19,0
15791513,647,France,Male,41,4,138937.35,1,1,1,101617.64,1
15587210,591,Germany,Female,44,10,113581.98,1,1,0,1985.41,0
15793803,574,France,Male,34,1,112572.39,1,0,0,165626.6,0
15787756,467,Germany,Male,51,10,114514.71,2,1,0,177784.68,1
15723437,701,France,Female,35,2,0.0,2,1,1,65765.22,0
15702715,747,France,Female,34,10,0.0,2,1,1,50759.8,0
15809872,650,France,Male,32,2,84906.45,1,1,0,163216.48,0
15644295,731,Spain,Female,39,2,126816.18,1,1,1,74850.93,0
15778694,638,Germany,Female,26,1,105249.76,2,1,1,23491.09,0
15759555,569,Spain,Male,41,2,0.0,2,1,0,134272.57,0
15631406,459,Germany,Male,50,5,109387.9,1,1,0,155721.15,0
15616676,632,Germany,Male,23,3,122478.51,1,1,0,147230.77,1
15771154,683,France,Female,73,8,137732.23,2,1,1,133210.44,0
15669491,850,France,Female,46,2,157866.77,1,1,1,18986.12,0
15697691,512,France,Female,41,6,0.0,1,1,1,100507.81,0
15665180,616,France,Female,31,3,136789.14,1,1,0,59346.4,1
15752588,664,France,Male,36,1,0.0,2,1,1,95372.64,0
15743051,694,France,Male,30,10,144684.03,1,1,1,31805.49,0
15571873,655,France,Male,24,9,107065.31,1,1,1,51959.82,0
15679743,607,France,Female,33,8,91301.72,1,0,1,130824.57,0
15769412,684,Spain,Male,39,4,207034.96,2,0,0,157694.76,1
15775124,763,Spain,Male,37,8,0.0,2,1,1,933.38,0
15732113,671,Spain,Male,50,8,0.0,1,0,1,2560.11,0
15578141,592,Spain,Male,38,3,0.0,1,1,1,12905.89,1
15595874,666,Spain,Female,36,6,0.0,2,1,0,176692.87,0
15755642,667,France,Male,34,5,0.0,2,1,1,102908.63,0
15576526,850,Spain,Male,36,6,0.0,2,0,1,41291.05,0
15792489,622,Spain,Male,42,9,0.0,2,1,0,119127.06,0
15733705,577,France,Female,30,8,92472.1,2,0,1,126434.61,0
15807221,555,Spain,Male,21,1,0.0,2,0,0,103901.35,0
15573045,547,France,Male,62,10,127738.75,2,1,1,85153.0,0
15756824,613,Germany,Female,50,5,101242.98,2,1,0,12493.61,0
15773520,672,France,Female,43,4,92599.55,2,1,1,167336.78,0
15627439,624,Spain,Female,36,10,0.0,2,0,1,186180.42,0
15701439,698,Spain,Female,50,1,0.0,4,1,0,88566.9,1
15785352,606,France,Male,37,6,82373.94,1,0,0,172526.9,1
15616525,720,Spain,Male,31,4,141356.47,1,0,0,137985.69,0
15717489,835,France,Male,23,9,0.0,1,1,0,19793.73,1
15795737,771,Spain,Female,47,3,72664.0,2,1,1,107874.39,0
15693877,811,France,Female,47,3,123365.34,2,0,0,171995.34,0
15576111,734,Germany,Male,33,5,121898.58,1,1,0,61829.89,0
